query,strategy,collection,rank,doc_key,score,latency_ms,margin_top1_top2,gap_top1_topk
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,1,"A2013-18.pdf|244-244",0.72375405,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,2,"A2013-18.pdf|143-143",0.7216381,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,3,"A2009-06.pdf|18-18",0.721435,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,4,"A2016-31.pdf|71-71",0.71943235,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,5,"penal_code.pdf|103-103",0.7186403,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,6,"penal_code.pdf|51-51",0.7179371,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,7,"THE BHARATIYA SAKSHYA ADHINIYAM, 2023.pdf|42-42",0.7110405,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,8,"THE BHARATIYA NYAYA SANHITA, 2023.pdf|73-73",0.71001214,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,9,"THE BHARATIYA NAGARIK SURAKSHA SANHITA, 2023 \u2013 ARRANGEMENT OF CLAUSES.pdf|84-84",0.7087987,30,0.0021159500000000886,0.016193050000000042
"I have been accused of financial fraud in a business partnership; I need to understand what constitutes \"dishonest inducement\" under Indian law and want to know about similar sample cases where a commercial dispute was wrongly categorized as a criminal cheating case.",cosine_para,btp_docs_cosine_para,10,"penal_code.pdf|102-102",0.707561,30,0.0021159500000000886,0.016193050000000042
